Cena,Cena za metr,Pokoje,Powierzchnia1,Link,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Obsługa zdalna,Ogrzewanie
4150165,26500,4,"156,61",https://www.otodom.pl/pl/oferta/mieszkanie-156-61-m-warszawa-ID4o2Bz,"156,61 m²",pełna własność,4 ,do zamieszkania,2/5,"balkon, ogródek, taras",2 100 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
960000,14155,3,"67,82",https://www.otodom.pl/pl/oferta/przy-parku-czechowickim-3-pokoje-2-x-garaz-ID4o2Bq,"67,82 m²",pełna własność,3 ,do zamieszkania,3/4,balkon,720 zł,garaż/miejsce parkingowe,Zapytaj,Zapytaj
429997,12666,2,"33,95",https://www.otodom.pl/pl/oferta/prywatny-ogrod-20m2-12min-do-metra-2-pokoje-ID4o2Bn,"33,95 m²",pełna własność,2 ,do wykończenia,parter/2,ogródek,225 zł,Zapytaj,tak,miejskie
699000,20379,1,"34,3",https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-z-duzym-balkonemklimatyzacja-ID4o2Bi,"34,3 m²",pełna własność,Zapytaj,do zamieszkania,7/8,balkon,700 zł,Zapytaj,Zapytaj,miejskie
1320000,21453,3,"61,53",https://www.otodom.pl/pl/oferta/wyjatkowy-gotowy-do-wprowadzenia-apartament-garaz-ID4o2B1,"61,53 m²",pełna własność,3 ,Zapytaj,6/8,balkon,700 zł,garaż/miejsce parkingowe,tak,miejskie
611999,11117,4,"55,05",https://www.otodom.pl/pl/oferta/4-pok-20min-do-centrum-widna-kuchnia-kredyt-2-ID4o2AW,"55,05 m²",pełna własność,4 ,do wykończenia,1/2,balkon,358 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
670000,16462,2,"40,7",https://www.otodom.pl/pl/oferta/2-pokoje-w-kamienicy-oddzielna-kuchnia-nowolipie-ID4o2AS,"40,7 m²",Zapytaj,2 ,Zapytaj,parter/4,Zapytaj,670 zł,Zapytaj,Zapytaj,Zapytaj
1420000,18808,3,"75,5",https://www.otodom.pl/pl/oferta/wyjakowe-3-p-z-duza-loggia-2-lazienkigarazkomor-ID4o2AK,"75,5 m²",pełna własność,3 ,do zamieszkania,parter/6,balkon,1 100 zł,garaż/miejsce parkingowe,tak,miejskie
419255,12317,2,"34,04",https://www.otodom.pl/pl/oferta/2-pokoje-12min-do-metra-kredyt-2-czynsz221-ID4o2At,"34,04 m²",pełna własność,2 ,do wykończenia,1/2,balkon,221 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
"805670,60",12602,3,"63,93",https://www.otodom.pl/pl/oferta/mieszkanie-w-stylu-holenderskim-dla-was-ID4o2Ak,"63,93 m²",pełna własność,3 ,Zapytaj,2/3,balkon,Zapytaj,Zapytaj,Zapytaj,inne
960000,15116,3,"63,51",https://www.otodom.pl/pl/oferta/mieszkanie-przy-parku-skaryszewskim-ID4o2zH,"63,51 m²",Zapytaj,3 ,do zamieszkania,parter/4,balkon,800 zł,Zapytaj,Zapytaj,Zapytaj
