date,uid,Cena,Cena za metr,Pokoje,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Obsługa zdalna,Ogrzewanie
,,960000,15434,3,"62,2 m²",pełna własność,3 ,do zamieszkania,3/4,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
,,795000,13339,3,"59,6 m²",pełna własność,3 ,do zamieszkania,> 10/15,balkon,850 zł,Zapytaj,Zapytaj,miejskie
,,1199000,22842,3,"52,49 m²",pełna własność,3 ,do zamieszkania,2/5,balkon,500 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
,,997000,18994,3,"52,49 m²",pełna własność,3 ,do wykończenia,2/5,balkon,500 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
,,468800,14650,2,32 m²,pełna własność,2 ,do wykończenia,1/2,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
,,415000,15485,1,"26,8 m²",spółdzielcze wł. prawo do lokalu,Zapytaj,do zamieszkania,2/4,Zapytaj,400 zł,Zapytaj,Zapytaj,miejskie
,,950000,21111,2,45 m²,pełna własność,2 ,do zamieszkania,2/3,Zapytaj,700 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
,,790000,15310,2,"51,6 m²",spółdzielcze wł. prawo do lokalu,2 ,do zamieszkania,6/6,balkon,1 000 zł,garaż/miejsce parkingowe,tak,miejskie
,,949000,14489,3,"65,5 m²",Zapytaj,3 ,do zamieszkania,1/3,balkon,1 100 zł,Zapytaj,Zapytaj,miejskie
,,1290000,24808,2,52 m²,pełna własność,2 ,do zamieszkania,2/3,balkon,540 zł,Zapytaj,Zapytaj,miejskie
,,795000,20385,2,39 m²,pełna własność,2 ,Zapytaj,6/7,balkon,575 zł,Zapytaj,Zapytaj,miejskie
,,710000,11474,3,"61,88 m²",pełna własność,3 ,do wykończenia,parter/7,"ogródek, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
,,665000,15747,2,"42,23 m²",pełna własność,2 ,do zamieszkania,1/3,balkon,360 zł,Zapytaj,Zapytaj,miejskie
,,580000,19333,1,30 m²,pełna własność,Zapytaj,do zamieszkania,1/4,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
,,500000,16667,1,30 m²,pełna własność,Zapytaj,do wykończenia,1/5,taras,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
,,799000,12311,3,"64,9 m²",Zapytaj,3 ,Zapytaj,parter/10,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj
,,665250,15000,2,"44,35 m²",pełna własność,2 ,do wykończenia,4/4,balkon,Zapytaj,garaż/miejsce parkingowe,tak,miejskie
,,899000,17627,3,51 m²,pełna własność,3 ,do zamieszkania,parter/5,Zapytaj,Zapytaj,Zapytaj,Zapytaj,miejskie
,,960000,14953,3,"64,2 m²",Zapytaj,3 ,do zamieszkania,4/8,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
